[2025-02-10 15:04:15.080] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2025-02-10 15:04:15.096] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-02-10 15:04:15.097] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-02-10 15:04:15.124] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-02-10 15:04:15.125] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-02-10 15:04:15.157] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-02-10 15:04:15.158] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-02-10 15:04:15.165] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-02-10 15:04:15.165] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-02-10 15:04:15.171] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-02-10 15:04:15.171] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-02-10 15:04:15.186] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-02-10 15:04:15.187] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-02-10 15:04:15.189] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2025-02-10 15:04:15.189] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2025-02-10 15:04:15.198] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2025-02-10 15:04:15.199] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2025-02-10 15:04:15.200] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-02-10 15:04:15.201] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-02-10 15:04:15.203] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-02-10 15:04:15.204] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-02-10 15:04:15.213] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2025-02-10 15:04:15.214] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2025-02-10 15:04:15.226] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-02-10 15:04:15.227] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-02-10 15:04:15.231] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-02-10 15:04:15.232] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-02-10 15:04:15.236] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-02-10 15:04:15.237] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-02-10 15:04:15.248] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-02-10 15:04:15.249] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-02-10 15:04:15.251] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2025-02-10 15:04:15.251] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2025-02-10 15:04:15.254] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-02-10 15:04:15.254] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-02-10 15:04:15.259] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2025-02-10 15:04:15.260] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2025-02-10 15:04:15.268] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-02-10 15:04:15.268] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
